Animal testing is cruel and inhumane,"Animals do not have rights, therefore it is acceptable to experiment on them",Churches should be taxed like corporations,Criminals should not have the right to vote,Do you believe in Astrology?,Do you believe intelligent alien civilizations in the universe do exist?,Do you consume alcoholic beverages?,Do you eat meat?,Do you have a car?,Do you play Pokemon Go?,Do you smoke?,Do you think global warming is mainly caused by human activity?,Do you think marijuana consumption should be legalized?,Do you use online dating?,Have you watched Game Of Thrones?,How did you meet your significant other?,How do you squeeze your toothpaste?,"If there were US elections tomorrow, which party would you support?",Obesity is a disease,"Playing violent video games causes more aggression, bullying, and fighting",Should public alcohol consumption be legal?,What flavor of potato chips do you prefer?,What is your gender?,What is your highest achieved education level?,What is your preferred music genre?,What is your preferred style of eggs?,What kind of breakfast drink do you prefer?,What kind of phone do you have?,Which category below includes your age?,Which kind of vacation do you prefer?,Which seat do you prefer on a flight?,Would you rather drive an electric car or a gas-powered car?
Agree,Disagree,Agree,Neither agree nor disagree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Through friends,I squeeze and/or roll it from the back to the front.,Democrats,Neither agree nor disagree,Agree,No,Original / Plain,Female,High School graduate,Country / Folk,Scrambled,Coffee,iPhone,25-34,Beach,Aisle,Gas
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,School,I squeeze it from anywhere.,Democrats,Agree,Disagree,Yes,Original / Plain,Female,Bachelor's degree,Rock,Sunny Side up,Tea,iPhone,25-34,Beach,Window,Electric
Agree,Disagree,Agree,Disagree,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Family,I squeeze and/or roll it from the back to the front.,Republicans,Neither agree nor disagree,Disagree,No,Original / Plain,Female,Master's degree,Electronic,Scrambled,Water,iPhone,25-34,Beach,Window,Gas
Agree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,School,I squeeze and/or roll it from the back to the front.,Republicans,Disagree,Agree,No,Sour Cream and Onion,Female,High School graduate,Pop,Over Easy/Over Medium/Over Hard,Coffee,iPhone,45-54,Cities,Window,Gas
Agree,Neither agree nor disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,School,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Disagree,No,Cheddar And Sour Cream,Male,High School graduate,Hip-Hop / Rap,Scrambled,Juice,iPhone,25-34,Beach,Aisle,Electric
Disagree,Agree,Agree,Neither agree nor disagree,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,I havent' met him/her yet.,I keep it intact.,Republicans,Agree,Agree,Yes,Sea Salt & Vinegar,Female,High School graduate,Hip-Hop / Rap,Boiled,Milk,iPhone,65+,Beach,Aisle,Electric
Agree,Disagree,Agree,Neither agree nor disagree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,At work,I squeeze it from the middle.,Democrats,Neither agree nor disagree,Disagree,Yes,Cheddar And Sour Cream,Male,Bachelor's degree,Rock,Over Easy/Over Medium/Over Hard,Tea,iPhone,35-44,Cities,Window,Electric
Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Through friends,I squeeze it from anywhere.,Democrats,Agree,Disagree,Yes,Cheddar And Sour Cream,Male,Bachelor's degree,Country / Folk,Scrambled,Juice,iPhone,45-54,Beach,Aisle,Gas
Neither agree nor disagree,Disagree,Disagree,Agree,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Dating App or Dating service,I squeeze it from the middle.,Republicans,Disagree,Neither agree nor disagree,Yes,Cheddar And Sour Cream,Female,Bachelor's degree,Rock,Scrambled,Coffee,iPhone,25-34,Cities,Window,Electric
Agree,Disagree,Agree,Neither agree nor disagree,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Through friends,I squeeze and/or roll it from the back to the front.,Republicans,Agree,Agree,No,Original / Plain,Female,High School graduate,Hip-Hop / Rap,Over Easy/Over Medium/Over Hard,Coffee,Android,35-44,Mountains,Window,Gas
Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Through friends,I squeeze it from the middle.,Republicans,Disagree,Neither agree nor disagree,No,Cheddar And Sour Cream,Female,High School graduate,Country / Folk,Over Easy/Over Medium/Over Hard,Coffee,iPhone,45-54,Beach,Aisle,Electric
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Other (please specify),I squeeze and/or roll it from the back to the front.,Democrats,Neither agree nor disagree,Agree,Yes,Barbecue,Male,Bachelor's degree,Pop,Scrambled,Coffee,Android,55-64,Mountains,Window,Gas
Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"Through Sports, Religion, Or Hobbies",I squeeze and/or roll it from the back to the front.,Republicans,Neither agree nor disagree,Agree,Yes,Sour Cream and Onion,Male,High School graduate,Pop,Scrambled,Juice,Android,25-34,Mountains,Middle,Electric
Agree,Disagree,Agree,Neither agree nor disagree,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,I havent' met him/her yet.,I squeeze and/or roll it from the back to the front.,Democrats,Neither agree nor disagree,Agree,Yes,Original / Plain,Female,Associate's degree,Other (please specify),Sunny Side up,Tea,Android,65+,Cities,Window,Electric
Agree,Disagree,Agree,Neither agree nor disagree,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Dating App or Dating service,I squeeze it from the middle.,Democrats,Neither agree nor disagree,Disagree,Yes,Sea Salt & Vinegar,Male,High School graduate,Country / Folk,Sunny Side up,Tea,Android,35-44,Beach,Window,Electric
Agree,Disagree,Agree,Neither agree nor disagree,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,At work,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Neither agree nor disagree,No,Jalapeno,Male,High School graduate,Rock,Scrambled,Coffee,Android,35-44,Beach,Window,Gas
Agree,Neither agree nor disagree,Disagree,Agree,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Through friends,I squeeze it from the middle.,Republicans,Neither agree nor disagree,Agree,No,Sour Cream and Onion,Female,Bachelor's degree,Country / Folk,Over Easy/Over Medium/Over Hard,Other (please specify),iPhone,25-34,Mountains,Window,Gas
Agree,Disagree,Agree,Disagree,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Through friends,I squeeze it from the middle.,Democrats,Disagree,Agree,No,Barbecue,Female,Associate's degree,Hip-Hop / Rap,Scrambled,Coffee,Android,25-34,Beach,Window,Electric
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,I havent' met him/her yet.,I squeeze it from the middle.,Republicans,Disagree,Disagree,No,Sour Cream and Onion,Female,High School graduate,Other (please specify),Sunny Side up,Coffee,Android,45-54,Beach,Middle,Gas
Agree,Disagree,Disagree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,School,I squeeze it from the middle.,Republicans,Disagree,Disagree,Yes,Barbecue,Female,High School graduate,Pop,Scrambled,Coffee,Android,35-44,Cities,Window,Gas
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,I havent' met him/her yet.,I squeeze it from anywhere.,Democrats,Agree,Agree,Yes,Cheddar And Sour Cream,Female,Associate's degree,Rock,Scrambled,Coffee,Android,35-44,Beach,Aisle,Electric
Agree,Disagree,Agree,Disagree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,At work,I squeeze it from the middle.,Democrats,Agree,Disagree,Yes,Sour Cream and Onion,Male,Bachelor's degree,Country / Folk,Over Easy/Over Medium/Over Hard,Coffee,iPhone,25-34,Beach,Aisle,Electric
Agree,Disagree,Agree,Agree,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Through friends,I squeeze it from the middle.,Democrats,Disagree,Agree,No,Sea Salt & Vinegar,Female,Bachelor's degree,Other (please specify),I don't eat eggs,Coffee,iPhone,45-54,Mountains,Aisle,Electric
Neither agree nor disagree,Agree,Agree,Disagree,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,At work,I squeeze and/or roll it from the back to the front.,Republicans,Neither agree nor disagree,Disagree,Yes,Cheddar And Sour Cream,Male,Bachelor's degree,Country / Folk,Boiled,Coffee,Android,35-44,Mountains,Middle,Gas
Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,At a bar / nightclub,I squeeze it from anywhere.,Republicans,Disagree,Agree,Yes,Sea Salt & Vinegar,Female,Associate's degree,Pop,Over Easy/Over Medium/Over Hard,Water,Android,25-34,Beach,Window,Gas
Agree,Disagree,Agree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,I havent' met him/her yet.,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Disagree,No,Jalapeno,Female,Bachelor's degree,Other (please specify),Over Easy/Over Medium/Over Hard,Tea,iPhone,25-34,Mountains,Window,Electric
Disagree,Agree,Disagree,Agree,No,No,Yes,Yes,Yes,No,No,No,No,No,No,School,I squeeze and/or roll it from the back to the front.,Republicans,Disagree,Disagree,Yes,Cheddar And Sour Cream,Male,Master's degree,Rock,Scrambled,Milk,iPhone,45-54,Beach,Aisle,Gas
Agree,Disagree,Disagree,Disagree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,School,I squeeze it from anywhere.,Democrats,Agree,Agree,Yes,Sour Cream and Onion,Female,High School graduate,Country / Folk,I don't eat eggs,Other (please specify),Android,35-44,Beach,Aisle,Gas
Agree,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Dating App or Dating service,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Disagree,Yes,Cheddar And Sour Cream,Male,High School graduate,Electronic,Scrambled,Juice,Android,18-24,Mountains,Window,Electric
Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Other (please specify),I squeeze and/or roll it from the back to the front.,Republicans,Neither agree nor disagree,Agree,No,Barbecue,Male,High School graduate,Hip-Hop / Rap,Scrambled,Juice,Android,55-64,Beach,Window,Gas
Agree,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Other (please specify),I squeeze it from anywhere.,Democrats,Agree,Disagree,Yes,Barbecue,Female,Bachelor's degree,Other (please specify),Sunny Side up,Other (please specify),Android,25-34,Mountains,Aisle,Gas
Disagree,Disagree,Agree,Agree,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"Through Sports, Religion, Or Hobbies",I squeeze it from the middle.,Republicans,Agree,Disagree,No,Sour Cream and Onion,Male,High School graduate,Pop,Scrambled,Juice,Android,25-34,Beach,Window,Gas
Neither agree nor disagree,Agree,Disagree,Disagree,No,No,Yes,Yes,Yes,No,No,No,No,No,No,I havent' met him/her yet.,I squeeze it from the top.,Republicans,Disagree,Disagree,No,None / I don't eat chips,Male,Associate's degree,Country / Folk,I don't eat eggs,Juice,Other (please specify),25-34,Cities,Window,Gas
Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,"Through Sports, Religion, Or Hobbies",I squeeze it from the middle.,Republicans,Neither agree nor disagree,Agree,Yes,Sea Salt & Vinegar,Female,High School graduate,Rock,Poached,Water,iPhone,25-34,Beach,Middle,Electric
Agree,Disagree,Agree,Disagree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,I havent' met him/her yet.,I squeeze it from anywhere.,Democrats,Disagree,Disagree,Yes,Cheddar And Sour Cream,Female,Bachelor's degree,Rock,Scrambled,Coffee,Android,25-34,Mountains,Window,Gas
Agree,Disagree,Agree,Agree,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Dating App or Dating service,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Neither agree nor disagree,Yes,Original / Plain,Female,Bachelor's degree,Pop,Over Easy/Over Medium/Over Hard,Water,iPhone,18-24,Mountains,Window,Electric
Agree,Agree,Disagree,Agree,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Family,I squeeze it from anywhere.,Republicans,Agree,Neither agree nor disagree,No,Sea Salt & Vinegar,Male,Bachelor's degree,Classical,Boiled,Juice,Android,25-34,Mountains,Window,Electric
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,At work,I keep it intact.,Democrats,Agree,Agree,Yes,Barbecue,Female,Bachelor's degree,Electronic,Scrambled,Tea,Android,25-34,Mountains,Window,Electric
Agree,Disagree,Agree,Disagree,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Through friends,I squeeze it from anywhere.,Democrats,Neither agree nor disagree,Neither agree nor disagree,Yes,None / I don't eat chips,Female,Bachelor's degree,Rock,Boiled,Coffee,Android,35-44,Mountains,Window,Electric
Agree,Disagree,Agree,Neither agree nor disagree,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Through friends,I squeeze it from anywhere.,Democrats,Neither agree nor disagree,Disagree,Yes,Barbecue,Female,Bachelor's degree,Classical,Over Easy/Over Medium/Over Hard,Juice,Android,25-34,Cities,Aisle,Gas
Agree,Disagree,Disagree,Disagree,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,At work,I squeeze it from the middle.,Democrats,Agree,Neither agree nor disagree,No,Jalapeno,Male,Associate's degree,Rock,Sunny Side up,Juice,Android,25-34,Mountains,Window,Electric
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Dating App or Dating service,I keep it intact.,Republicans,Neither agree nor disagree,Neither agree nor disagree,No,Sea Salt & Vinegar,Female,"Doctoral degree (PhD, MD, JD or other professional degree)",Electronic,Over Easy/Over Medium/Over Hard,Juice,iPhone,25-34,Beach,Middle,Electric
Agree,Disagree,Neither agree nor disagree,Agree,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Through friends,I squeeze it from anywhere.,Republicans,Agree,Agree,Yes,Sour Cream and Onion,Female,Bachelor's degree,Other (please specify),Scrambled,Juice,Android,25-34,Beach,Aisle,Gas
Agree,Disagree,Neither agree nor disagree,Agree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,At work,I squeeze it from the top.,Republicans,Agree,Disagree,Yes,Jalapeno,Female,Associate's degree,Hip-Hop / Rap,Scrambled,Coffee,iPhone,25-34,Beach,Window,Electric
Agree,Disagree,Agree,Agree,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Family,I squeeze it from the middle.,Republicans,Neither agree nor disagree,Disagree,No,Barbecue,Female,Associate's degree,Country / Folk,Poached,Coffee,Android,55-64,Beach,Window,Gas
Neither agree nor disagree,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Through friends,I squeeze it from the top.,Democrats,Neither agree nor disagree,Disagree,Yes,Sea Salt & Vinegar,Male,Bachelor's degree,Rock,Over Easy/Over Medium/Over Hard,Water,iPhone,25-34,Beach,Window,Electric
Agree,Disagree,Agree,Disagree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,School,I squeeze and/or roll it from the back to the front.,Republicans,Disagree,Disagree,Yes,Jalapeno,Male,High School graduate,Electronic,Poached,Juice,Android,35-44,Cities,Aisle,Electric
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Through Sports, Religion, Or Hobbies",I squeeze it from the middle.,Democrats,Neither agree nor disagree,Neither agree nor disagree,Yes,Sour Cream and Onion,Male,Master's degree,Pop,Sunny Side up,Juice,iPhone,25-34,Beach,Middle,Electric
Disagree,Neither agree nor disagree,Disagree,Agree,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,School,I squeeze and/or roll it from the back to the front.,Republicans,Disagree,Disagree,No,Cheddar And Sour Cream,Male,Bachelor's degree,Rock,Over Easy/Over Medium/Over Hard,Coffee,Other (please specify),25-34,Mountains,Aisle,Gas
Agree,Disagree,Neither agree nor disagree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Through friends,I squeeze it from the top.,Democrats,Agree,Disagree,No,Cheese,Female,Associate's degree,Pop,Scrambled,Coffee,Android,25-34,Beach,Window,Gas
Agree,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Other (please specify),I squeeze it from anywhere.,Democrats,Neither agree nor disagree,Disagree,Yes,Sea Salt & Vinegar,Female,Master's degree,Other (please specify),Scrambled,Coffee,iPhone,35-44,Beach,Window,Electric
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I havent' met him/her yet.,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Disagree,Yes,Barbecue,Male,Master's degree,Hip-Hop / Rap,Scrambled,Juice,Android,25-34,Cities,Window,Electric
Disagree,Agree,Disagree,Disagree,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,I havent' met him/her yet.,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Disagree,Yes,Original / Plain,Male,"Doctoral degree (PhD, MD, JD or other professional degree)",Country / Folk,Sunny Side up,Juice,iPhone,25-34,Mountains,Window,Electric
Agree,Disagree,Disagree,Neither agree nor disagree,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,At a bar / nightclub,I squeeze it from the top.,Democrats,Disagree,Agree,No,Original / Plain,Female,High School graduate,Pop,I don't eat eggs,Coffee,Android,35-44,Mountains,Aisle,Electric
Agree,Disagree,Disagree,Agree,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Other (please specify),I squeeze it from the top.,Republicans,Agree,Agree,Yes,None / I don't eat chips,Female,High School graduate,Rock,Scrambled,Coffee,iPhone,25-34,Mountains,Window,Electric
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Through friends,I squeeze it from anywhere.,Democrats,Neither agree nor disagree,Neither agree nor disagree,Yes,Original / Plain,Female,Master's degree,Pop,Over Easy/Over Medium/Over Hard,Coffee,iPhone,55-64,Cities,Aisle,Gas
Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,I havent' met him/her yet.,I squeeze and/or roll it from the back to the front.,Republicans,Neither agree nor disagree,Disagree,No,Sea Salt & Vinegar,Male,High School graduate,Hip-Hop / Rap,Boiled,Tea,Android,25-34,Mountains,Aisle,Gas
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,No,No,No,No,No,No,No,Yes,No,No,Yes,At work,I squeeze it from the middle.,Democrats,Agree,Disagree,No,Cheese,Male,Master's degree,Hip-Hop / Rap,I don't eat eggs,Coffee,Android,25-34,Mountains,Window,Gas
Agree,Neither agree nor disagree,Disagree,Agree,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Through friends,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Agree,No,Barbecue,Female,High School graduate,Other (please specify),Sunny Side up,Water,Android,45-54,Beach,Window,Gas
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,I havent' met him/her yet.,I keep it intact.,Democrats,Neither agree nor disagree,Agree,No,Original / Plain,Female,High School graduate,Other (please specify),Over Easy/Over Medium/Over Hard,Coffee,Android,55-64,Beach,Aisle,Gas
Agree,Disagree,Agree,Disagree,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Through friends,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Agree,No,Sea Salt & Vinegar,Female,High School graduate,Rock,Scrambled,Coffee,iPhone,35-44,Mountains,Aisle,Electric
Agree,Disagree,Neither agree nor disagree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,At a bar / nightclub,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Agree,Yes,Cheddar And Sour Cream,Female,Associate's degree,Pop,Sunny Side up,Water,Android,25-34,Beach,Window,Gas
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Dating App or Dating service,I squeeze and/or roll it from the back to the front.,Democrats,Disagree,Agree,Yes,Sea Salt & Vinegar,Female,Associate's degree,Country / Folk,Poached,Coffee,iPhone,25-34,Beach,Window,Gas
Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Dating App or Dating service,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Disagree,Yes,Cheddar And Sour Cream,Male,Bachelor's degree,Pop,Over Easy/Over Medium/Over Hard,Water,iPhone,18-24,Cities,Aisle,Electric
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,School,I squeeze it from anywhere.,Democrats,Agree,Disagree,No,Original / Plain,Female,Bachelor's degree,Hip-Hop / Rap,Scrambled,Coffee,Android,35-44,Beach,Window,Electric
Agree,Disagree,Disagree,Disagree,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,At work,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Neither agree nor disagree,Yes,Jalapeno,Female,Bachelor's degree,Electronic,Poached,Water,iPhone,25-34,Beach,Window,Electric
Agree,Disagree,Agree,Neither agree nor disagree,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,School,I squeeze and/or roll it from the back to the front.,Republicans,Agree,Disagree,No,Barbecue,Female,Bachelor's degree,Classical,Scrambled,Water,Android,35-44,Beach,Aisle,Electric
Agree,Disagree,Neither agree nor disagree,Agree,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Through friends,I squeeze it from anywhere.,Democrats,Agree,Agree,No,Barbecue,Female,Associate's degree,Hip-Hop / Rap,Scrambled,Coffee,Android,25-34,Beach,Aisle,Electric
Disagree,Agree,Disagree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Dating App or Dating service,I squeeze it from the middle.,Republicans,Disagree,Agree,No,Sea Salt & Vinegar,Female,Bachelor's degree,Hip-Hop / Rap,Scrambled,Coffee,iPhone,25-34,Mountains,Middle,Electric
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Through friends,I squeeze it from the middle.,Republicans,Disagree,Agree,No,Sea Salt & Vinegar,Female,Bachelor's degree,Pop,Sunny Side up,Water,iPhone,25-34,Beach,Window,Gas
Agree,Disagree,Agree,Agree,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I havent' met him/her yet.,I squeeze it from the middle.,Democrats,Neither agree nor disagree,Disagree,Yes,Barbecue,Female,Bachelor's degree,Rock,Scrambled,Coffee,Android,35-44,Cities,Aisle,Electric
Agree,Disagree,Disagree,Agree,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,School,I squeeze it from the middle.,Republicans,Agree,Disagree,No,Sea Salt & Vinegar,Female,High School graduate,Country / Folk,Sunny Side up,Coffee,iPhone,18-24,Beach,Window,Gas
Disagree,Disagree,Agree,Disagree,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Family,I squeeze it from the middle.,Democrats,Agree,Agree,No,Cheese,Female,Bachelor's degree,Classical,Sunny Side up,Juice,iPhone,18-24,Mountains,Middle,Electric
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,School,I squeeze it from anywhere.,Democrats,Agree,Agree,Yes,Sour Cream and Onion,Female,Bachelor's degree,Pop,Poached,Coffee,iPhone,18-24,Mountains,Window,Electric
Agree,Neither agree nor disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,I havent' met him/her yet.,I squeeze it from the middle.,Democrats,Agree,Neither agree nor disagree,No,Original / Plain,Female,Associate's degree,Pop,Scrambled,Tea,Android,25-34,Beach,Window,Electric
Disagree,Agree,Disagree,Agree,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,School,I squeeze and/or roll it from the back to the front.,Republicans,Agree,Disagree,No,Sea Salt & Vinegar,Female,High School graduate,Electronic,Scrambled,Coffee,iPhone,18-24,Mountains,Window,Electric
Agree,Disagree,Neither agree nor disagree,Agree,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Through friends,I squeeze it from the top.,Democrats,Agree,Agree,No,Original / Plain,Female,Bachelor's degree,Hip-Hop / Rap,Scrambled,Coffee,Android,25-34,Beach,Window,Gas
Agree,Disagree,Disagree,Disagree,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Other (please specify),I squeeze it from the middle.,Democrats,Neither agree nor disagree,Disagree,Yes,Jalapeno,Female,Bachelor's degree,Pop,Scrambled,Coffee,iPhone,25-34,Beach,Window,Electric
Agree,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Dating App or Dating service,I squeeze it from the middle.,Democrats,Neither agree nor disagree,Agree,Yes,Sea Salt & Vinegar,Female,Associate's degree,Rock,Over Easy/Over Medium/Over Hard,Water,iPhone,25-34,Beach,Aisle,Gas
Agree,Disagree,Agree,Disagree,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Family,I squeeze it from the top.,Republicans,Agree,Agree,No,Barbecue,Female,Bachelor's degree,Pop,Poached,Coffee,Android,35-44,Beach,Window,Electric
Agree,Disagree,Agree,Agree,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Through friends,I squeeze it from the middle.,Republicans,Agree,Agree,No,Original / Plain,Female,Associate's degree,Hip-Hop / Rap,Scrambled,Tea,Android,45-54,Beach,Window,Electric
Agree,Disagree,Agree,Disagree,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,At work,I squeeze it from the middle.,Democrats,Disagree,Neither agree nor disagree,No,Sea Salt & Vinegar,Female,High School graduate,Rock,Over Easy/Over Medium/Over Hard,Coffee,Android,55-64,Beach,Aisle,Electric
Agree,Disagree,Agree,Neither agree nor disagree,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Through friends,I squeeze it from the top.,Republicans,Neither agree nor disagree,Neither agree nor disagree,Yes,None / I don't eat chips,Male,Associate's degree,Pop,Scrambled,Juice,Android,35-44,Mountains,Window,Electric
Agree,Disagree,Disagree,Agree,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,School,I squeeze and/or roll it from the back to the front.,Democrats,Agree,Disagree,No,Barbecue,Male,Master's degree,Pop,Scrambled,Milk,iPhone,25-34,Beach,Window,Electric
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Dating App or Dating service,I squeeze it from the middle.,Republicans,Agree,Disagree,No,Sea Salt & Vinegar,Female,Associate's degree,Rock,Sunny Side up,Tea,iPhone,25-34,Beach,Aisle,Gas
